,Age Group,Sex,Year,Population_2018,Population_2022,Population_Difference,Percentage_Difference
1176,0-4,persons,2036,3181497.0,3007374.0,-174123.0,-5.472989602064689
1177,5-9,persons,2036,3197505.0,3049536.0,-147969.0,-4.627639362565501
1178,10-14,persons,2036,3261455.0,3101867.0,-159588.0,-4.89315351583879
1179,15-19,persons,2036,3448761.0,3411432.0,-37329.0,-1.0823887187311616
1180,20-24,persons,2036,3876079.0,3962834.0,86755.0,2.23821547496839
1181,25-29,persons,2036,3904252.0,4229356.0,325104.0,8.326921520434643
1182,30-34,persons,2036,3532694.0,4304075.0,771381.0,21.835488723336923
1183,35-39,persons,2036,3594165.0,4397123.0,802958.0,22.340599276883506
1184,40-44,persons,2036,3786054.0,4388900.0,602846.0,15.922805115827721
1185,45-49,persons,2036,3871594.0,4294443.0,422849.0,10.92183219624785
1186,50-54,persons,2036,3751562.0,3921879.0,170317.0,4.539895648799087
1187,55-59,persons,2036,3522489.0,3563259.0,40770.0,1.1574202218942344
1188,60-64,persons,2036,3432121.0,3400559.0,-31562.0,-0.9196062726226728
1189,65-69,persons,2036,3624525.0,3562964.0,-61561.0,-1.6984570391982399
1190,70-74,persons,2036,3410221.0,3317110.0,-93111.0,-2.73035090687671
1191,75-79,persons,2036,2710706.0,2625581.0,-85125.0,-3.140325804421431
1192,80-84,persons,2036,1987450.0,1909733.0,-77717.0,-3.9103876827089987
1193,85-89,persons,2036,1470491.0,1438640.0,-31851.0,-2.1660112166616456
1194,90-94,persons,2036,636628.0,629222.0,-7406.0,-1.1633167249948164
1195,95-99,persons,2036,157379.0,148826.0,-8553.0,-5.434651382967233
1196,100&over,persons,2036,20187.0,16938.0,-3249.0,-16.094516272848864
1197,0-4,male,2037,1641828.0,1545689.0,-96139.0,-5.855607286512351
1198,5-9,male,2037,1640322.0,1566087.0,-74235.0,-4.525635820284067
1199,10-14,male,2037,1668741.0,1579956.0,-88785.0,-5.320478132915773
1200,15-19,male,2037,1747685.0,1732256.0,-15429.0,-0.8828249942066219
1201,20-24,male,2037,1974835.0,2014429.0,39594.0,2.0049269939007566
1202,25-29,male,2037,2041114.0,2185882.0,144768.0,7.092597473732481
1203,30-34,male,2037,1858547.0,2221610.0,363063.0,19.534776360242706
1204,35-39,male,2037,1799553.0,2205317.0,405764.0,22.548043875340156
1205,40-44,male,2037,1902637.0,2172642.0,270005.0,14.19109372938716
1206,45-49,male,2037,1945282.0,2109209.0,163927.0,8.426901600898995
1207,50-54,male,2037,1851552.0,1922351.0,70799.0,3.8237651440521248
1208,55-59,male,2037,1772591.0,1773067.0,476.0,0.026853346316211696
1209,60-64,male,2037,1639762.0,1616057.0,-23705.0,-1.4456366228757587
1210,65-69,male,2037,1741343.0,1698956.0,-42387.0,-2.4341557062566075
1211,70-74,male,2037,1645692.0,1588103.0,-57589.0,-3.4993789846459724
1212,75-79,male,2037,1316033.0,1265703.0,-50330.0,-3.824372185195964
1213,80-84,male,2037,925361.0,874019.0,-51342.0,-5.548321141694971
1214,85-89,male,2037,611056.0,578483.0,-32573.0,-5.330607996648426
1215,90-94,male,2037,286669.0,271997.0,-14672.0,-5.118097875947521
1216,95-99,male,2037,58082.0,50026.0,-8056.0,-13.87004579732103
1217,100&over,male,2037,6564.0,4688.0,-1876.0,-28.58013406459476
1218,0-4,female,2037,1564988.0,1469647.0,-95341.0,-6.092123390083502
