Age Group,Sex,Year,Population
0 - 4,Females,2035,1462573
5 - 9,Females,2035,1483107
10 - 14,Females,2035,1519455
15 - 19,Females,2035,1689427
20 - 24,Females,2035,1939095
25 - 29,Females,2035,2038318
30 - 34,Females,2035,2096521
35 - 39,Females,2035,2198249
40 - 44,Females,2035,2240016
45 - 49,Females,2035,2186260
50 - 54,Females,2035,2001303
55 - 59,Females,2035,1782359
60 - 64,Females,2035,1794978
65 - 69,Females,2035,1849919
70 - 74,Females,2035,1712947
75 - 79,Females,2035,1354712
80 - 84,Females,2035,1045308
85 - 89,Females,2035,831952
90 - 94,Females,2035,368634
95 - 99,Females,2035,100746
100 & over,Females,2035,11825
0 - 4,Females,2036,1465762
5 - 9,Females,2036,1485279
10 - 14,Females,2036,1510343
15 - 19,Females,2036,1661257
20 - 24,Females,2036,1928544
25 - 29,Females,2036,2061585
30 - 34,Females,2036,2102071
35 - 39,Females,2036,2192564
40 - 44,Females,2036,2230903
45 - 49,Females,2036,2215918
50 - 54,Females,2036,2025502
55 - 59,Females,2036,1830254
60 - 64,Females,2036,1744643
65 - 69,Females,2036,1848798
70 - 74,Females,2036,1743820
75 - 79,Females,2036,1399242
80 - 84,Females,2036,1056017
85 - 89,Females,2036,834840
90 - 94,Females,2036,389484
95 - 99,Females,2036,100761
100 & over,Females,2036,12557
0 - 4,Females,2037,1469647
5 - 9,Females,2037,1487024
10 - 14,Females,2037,1498971
15 - 19,Females,2037,1643121
20 - 24,Females,2037,1909558
25 - 29,Females,2037,2081014
30 - 34,Females,2037,2112652
35 - 39,Females,2037,2176692
40 - 44,Females,2037,2232147
45 - 49,Females,2037,2237150
50 - 54,Females,2037,2061061
55 - 59,Females,2037,1880859
60 - 64,Females,2037,1703823
65 - 69,Females,2037,1833965
70 - 74,Females,2037,1761007
75 - 79,Females,2037,1446734
80 - 84,Females,2037,1077507
85 - 89,Females,2037,802669
90 - 94,Females,2037,436481
95 - 99,Females,2037,104356
100 & over,Females,2037,13309
0 - 4,Females,2038,1474206
5 - 9,Females,2038,1488811
10 - 14,Females,2038,1502865
15 - 19,Females,2038,1616491
20 - 24,Females,2038,1892573
25 - 29,Females,2038,2079044
30 - 34,Females,2038,2135865
35 - 39,Females,2038,2166113
40 - 44,Females,2038,2234856
45 - 49,Females,2038,2239565
50 - 54,Females,2038,2103915
55 - 59,Females,2038,1928937
60 - 64,Females,2038,1683942
65 - 69,Females,2038,1808349
70 - 74,Females,2038,1769041
75 - 79,Females,2038,1491827
80 - 84,Females,2038,1104083
85 - 89,Females,2038,788330
90 - 94,Females,2038,462340
95 - 99,Females,2038,111467
100 & over,Females,2038,14056
0 - 4,Females,2039,1479264
5 - 9,Females,2039,1490949
10 - 14,Females,2039,1507397
15 - 19,Females,2039,1592826
20 - 24,Females,2039,1878926
25 - 29,Females,2039,2073603
30 - 34,Females,2039,2149134
35 - 39,Females,2039,2162652
40 - 44,Females,2039,2232640
45 - 49,Females,2039,2248491
50 - 54,Females,2039,2142714
55 - 59,Females,2039,1952189
60 - 64,Females,2039,1703362
65 - 69,Females,2039,1770169
70 - 74,Females,2039,1770405
75 - 79,Females,2039,1536646
80 - 84,Females,2039,1134165
85 - 89,Females,2039,786720
90 - 94,Females,2039,473774
95 - 99,Females,2039,120348
100 & over,Females,2039,14673
0 - 4,Females,2040,1484663
5 - 9,Females,2040,1493565
10 - 14,Females,2040,1510501
15 - 19,Females,2040,1574222
20 - 24,Females,2040,1862743
25 - 29,Females,2040,2064239
30 - 34,Females,2040,2166950
35 - 39,Females,2040,2165810
40 - 44,Females,2040,2227774
45 - 49,Females,2040,2245405
50 - 54,Females,2040,2173548
55 - 59,Females,2040,1972414
60 - 64,Females,2040,1743554
65 - 69,Females,2040,1737151
70 - 74,Females,2040,1759750
75 - 79,Females,2040,1578835
80 - 84,Females,2040,1171096
85 - 89,Females,2040,787888
90 - 94,Females,2040,480013
95 - 99,Females,2040,127756
100 & over,Females,2040,15101
0 - 4,Females,2041,1490237
5 - 9,Females,2041,1496754
10 - 14,Females,2041,1512674
15 - 19,Females,2041,1565146
20 - 24,Females,2041,1834635
25 - 29,Females,2041,2053621
30 - 34,Females,2041,2190150
35 - 39,Females,2041,2171416
40 - 44,Females,2041,2222168
45 - 49,Females,2041,2236513
50 - 54,Females,2041,2203090
55 - 59,Females,2041,1996539
60 - 64,Females,2041,1790727
65 - 69,Females,2041,1689240
70 - 74,Females,2041,1759629
75 - 79,Females,2041,1608462
80 - 84,Females,2041,1211713
85 - 89,Females,2041,798657
90 - 94,Females,2041,480742
95 - 99,Females,2041,135324
100 & over,Females,2041,15160
0 - 4,Females,2042,1495771
5 - 9,Females,2042,1500637
10 - 14,Females,2042,1514416
15 - 19,Females,2042,1553814
20 - 24,Females,2042,1816547
25 - 29,Females,2042,2034604
30 - 34,Females,2042,2209509
35 - 39,Females,2042,2182030
40 - 44,Females,2042,2206442
45 - 49,Females,2042,2237930
50 - 54,Females,2042,2224262
55 - 59,Females,2042,2031853
60 - 64,Females,2042,1840407
65 - 69,Females,2042,1650501
70 - 74,Females,2042,1746348
75 - 79,Females,2042,1625515
80 - 84,Females,2042,1255085
85 - 89,Females,2042,817719
90 - 94,Females,2042,465903
95 - 99,Females,2042,154780
100 & over,Females,2042,16007
0 - 4,Females,2043,1500832
5 - 9,Females,2043,1505199
10 - 14,Females,2043,1516204
15 - 19,Females,2043,1557693
20 - 24,Females,2043,1789950
25 - 29,Females,2043,2017559
30 - 34,Females,2043,2207543
35 - 39,Females,2043,2205208
40 - 44,Females,2043,2195997
45 - 49,Females,2043,2240765
50 - 54,Females,2043,2226831
55 - 59,Females,2043,2074337
60 - 64,Females,2043,1887600
65 - 69,Females,2043,1632016
70 - 74,Females,2043,1722746
75 - 79,Females,2043,1634122
80 - 84,Females,2043,1296379
85 - 89,Females,2043,840989
90 - 94,Females,2043,461177
95 - 99,Females,2043,164660
100 & over,Females,2043,17512
0 - 4,Females,2044,1505014
5 - 9,Females,2044,1510254
10 - 14,Females,2044,1518342
15 - 19,Females,2044,1562221
20 - 24,Females,2044,1766285
25 - 29,Females,2044,2003816
30 - 34,Females,2044,2202139
35 - 39,Females,2044,2218440
40 - 44,Females,2044,2192657
45 - 49,Females,2044,2238692
50 - 54,Females,2044,2235879
55 - 59,Females,2044,2112762
60 - 64,Females,2044,1910620
65 - 69,Females,2044,1651599
70 - 74,Females,2044,1687193
75 - 79,Females,2044,1636691
80 - 84,Females,2044,1337350
85 - 89,Females,2044,866986
90 - 94,Females,2044,463526
95 - 99,Females,2044,168457
100 & over,Females,2044,19230
0 - 4,Females,2045,1508151
5 - 9,Females,2045,1515653
10 - 14,Females,2045,1520956
15 - 19,Females,2045,1565325
20 - 24,Females,2045,1747643
25 - 29,Females,2045,1987516
30 - 34,Females,2045,2192834
35 - 39,Females,2045,2236203
40 - 44,Females,2045,2195919
45 - 49,Females,2045,2233959
50 - 54,Females,2045,2233015
55 - 59,Females,2045,2143385
60 - 64,Females,2045,1930824
65 - 69,Females,2045,1691255
70 - 74,Females,2045,1656556
75 - 79,Females,2045,1628131
80 - 84,Females,2045,1375829
85 - 89,Females,2045,897722
90 - 94,Females,2045,467059
95 - 99,Females,2045,170069
100 & over,Females,2045,20513
0 - 4,Females,2046,1510150
5 - 9,Females,2046,1521222
10 - 14,Females,2046,1524147
15 - 19,Females,2046,1567493
20 - 24,Females,2046,1738496
25 - 29,Females,2046,1959287
30 - 34,Females,2046,2182309
35 - 39,Females,2046,2259313
40 - 44,Females,2046,2201614
45 - 49,Females,2046,2228480
50 - 54,Females,2046,2224435
55 - 59,Females,2046,2172727
60 - 64,Females,2046,1954850
65 - 69,Females,2046,1737519
70 - 74,Females,2046,1611911
75 - 79,Females,2046,1629482
80 - 84,Females,2046,1403292
85 - 89,Females,2046,931543
90 - 94,Females,2046,476354
95 - 99,Females,2046,169927
100 & over,Females,2046,21745
0 - 4,Females,2047,1510968
5 - 9,Females,2047,1526750
10 - 14,Females,2047,1528033
15 - 19,Females,2047,1569232
20 - 24,Females,2047,1727047
25 - 29,Females,2047,1941079
30 - 34,Females,2047,2163393
35 - 39,Females,2047,2278609
40 - 44,Females,2047,2212274
45 - 49,Females,2047,2212982
50 - 54,Females,2047,2226097
55 - 59,Females,2047,2193802
60 - 64,Females,2047,1989806
65 - 69,Females,2047,1786060
70 - 74,Females,2047,1575933
75 - 79,Females,2047,1618440
80 - 84,Females,2047,1419913
85 - 89,Females,2047,967824
90 - 94,Females,2047,490732
95 - 99,Females,2047,166822
100 & over,Females,2047,25573
0 - 4,Females,2048,1510354
5 - 9,Females,2048,1531811
10 - 14,Females,2048,1532590
15 - 19,Females,2048,1571018
20 - 24,Females,2048,1730827
25 - 29,Females,2048,1914385
30 - 34,Females,2048,2146448
35 - 39,Females,2048,2276681
40 - 44,Females,2048,2235434
45 - 49,Females,2048,2202738
50 - 54,Females,2048,2229107
55 - 59,Females,2048,2196578
60 - 64,Females,2048,2031779
65 - 69,Females,2048,1832173
70 - 74,Females,2048,1559281
75 - 79,Females,2048,1597707
80 - 84,Females,2048,1429180
85 - 89,Females,2048,1002533
90 - 94,Females,2048,507982
95 - 99,Females,2048,167296
100 & over,Females,2048,27261
0 - 4,Females,2049,1508068
5 - 9,Females,2049,1535997
10 - 14,Females,2049,1537640
15 - 19,Females,2049,1573153
20 - 24,Females,2049,1735287
25 - 29,Females,2049,1890618
30 - 34,Females,2049,2132798
35 - 39,Females,2049,2271359
40 - 44,Females,2049,2248659
45 - 49,Females,2049,2199579
50 - 54,Females,2049,2227250
55 - 59,Females,2049,2205785
60 - 64,Females,2049,2069701
65 - 69,Females,2049,1854972
70 - 74,Females,2049,1579061
75 - 79,Females,2049,1565869
80 - 84,Females,2049,1433389
85 - 89,Females,2049,1036948
90 - 94,Females,2049,526914
95 - 99,Females,2049,170128
100 & over,Females,2049,27796
0 - 4,Females,2050,1504165
5 - 9,Females,2050,1539146
10 - 14,Females,2050,1543031
15 - 19,Females,2050,1575763
20 - 24,Females,2050,1738327
25 - 29,Females,2050,1871906
30 - 34,Females,2050,2116595
35 - 39,Females,2050,2262171
40 - 44,Females,2050,2266375
45 - 49,Females,2050,2202980
50 - 54,Females,2050,2222725
55 - 59,Females,2050,2203232
60 - 64,Females,2050,2100041
65 - 69,Females,2050,1875195
70 - 74,Females,2050,1618024
75 - 79,Females,2050,1538560
80 - 84,Females,2050,1427815
85 - 89,Females,2050,1069197
90 - 94,Females,2050,548184
95 - 99,Females,2050,173020
100 & over,Females,2050,28009
0 - 4,Females,2051,1498731
5 - 9,Females,2051,1541158
10 - 14,Females,2051,1548594
15 - 19,Females,2051,1578942
20 - 24,Females,2051,1740437
25 - 29,Females,2051,1862735
30 - 34,Females,2051,2088512
35 - 39,Females,2051,2251770
40 - 44,Females,2051,2289416
45 - 49,Females,2051,2208784
50 - 54,Females,2051,2217460
