Year,Age,Sex,Population
2031,10-14,male,1687695
2031,15-19,male,1848206
2031,20-24,male,2046646
2031,25-29,male,2079658
2031,30-34,male,2135015
2031,35-39,male,2136675
2031,40-44,male,2081413
2031,45-49,male,1913981
2031,50-54,male,1770322
2031,55-59,male,1718245
2031,60-64,male,1813184
2031,65-69,male,1710386
2031,70-74,male,1398588
2031,75-79,male,1069168
2031,80-84,male,907166
2031,85-89,male,496384
2031,90-94,male,182216
2031,95-99,male,40520
2031,0-4,female,1454317
2031,5-9,female,1483006
2031,10-14,female,1606733
2031,15-19,female,1755497
2031,20-24,female,1936426
2031,25-29,female,1973417
2031,30-34,female,2123653
2031,35-39,female,2201752
2031,40-44,female,2210868
2031,45-49,female,2037444
2031,50-54,female,1857453
2031,55-59,female,1785953
2031,60-64,female,1912865
2031,65-69,female,1836513
2031,70-74,female,1524328
2031,75-79,female,1231457
2031,80-84,female,1124923
2031,85-89,female,686715
2031,90-94,female,307451
2031,95-99,female,86731
2031,0-4,persons,2983892
2031,5-9,persons,3045292
2031,10-14,persons,3294428
2031,15-19,persons,3603703
2031,20-24,persons,3983072
2031,25-29,persons,4053075
2031,30-34,persons,4258668
2031,35-39,persons,4338427
2031,40-44,persons,4292281
2031,45-49,persons,3951425
2031,50-54,persons,3627775
2031,55-59,persons,3504198
2031,60-64,persons,3726049
2031,65-69,persons,3546899
2031,70-74,persons,2922916
2031,75-79,persons,2300625
2031,80-84,persons,2032089
2031,85-89,persons,1183099
2031,90-94,persons,489667
2031,95-99,persons,127251
2032,0-4,male,1531395
2032,5-9,male,1550678
2032,10-14,male,1669671
2032,15-19,male,1828202
2032,20-24,male,2064632
2032,25-29,male,2099296
2032,30-34,male,2135724
2032,35-39,male,2151223
2032,40-44,male,2112156
2032,45-49,male,1939966
2032,50-54,male,1810935
2032,55-59,male,1675756
2032,60-64,male,1796223
2032,65-69,male,1725520
2032,70-74,male,1441574
2032,75-79,male,1091725
2032,80-84,male,865421
2032,85-89,male,554784
2032,90-94,male,187222
2032,95-99,male,42838
2032,0-4,female,1456051
2032,5-9,female,1471609
2032,10-14,female,1588522
2032,15-19,female,1736461
2032,20-24,female,1955798
2032,25-29,female,1983975
2032,30-34,female,2107673
2032,35-39,female,2202864
2032,40-44,female,2232138
2032,45-49,female,2073163
2032,50-54,female,1908778
2032,55-59,female,1743503
2032,60-64,female,1896976
2032,65-69,female,1853781
2032,70-74,female,1574175
2032,75-79,female,1254009
2032,80-84,female,1076885
2032,85-89,female,760317
2032,90-94,female,314482
2032,95-99,female,90706
2032,0-4,persons,2987446
2032,5-9,persons,3022287
2032,10-14,persons,3258193
2032,15-19,persons,3564663
2032,20-24,persons,4020430
2032,25-29,persons,4083271
2032,30-34,persons,4243397
2032,35-39,persons,4354087
